,SSSSSSSS.mmmuuun,DURATION,ENER,AMP
0,0.00025,1000.0,61.0,61.0
1,0.0015,1000.0,53.0,60.0
2,0.00275,1000.0,59.0,61.0
3,0.004,1000.0,52.0,60.0
4,0.00525,1000.0,58.0,60.0
5,0.006500499999999999,1000.0,61.0,62.0
6,0.00775,1000.0,56.0,61.0
7,0.009000000000000001,1000.0,51.0,61.0
8,0.004,1000.0,52.0,60.0
9,0.00525,1000.0,58.0,60.0
10,0.006500499999999999,1000.0,61.0,62.0
11,0.00775,1000.0,56.0,61.0
12,0.009000000000000001,1000.0,51.0,61.0
13,0.00025,1000.0,61.0,61.0
14,0.0015,1000.0,53.0,60.0
15,0.00275,1000.0,59.0,61.0
16,0.004,1000.0,52.0,60.0
17,0.00525,1000.0,58.0,60.0
18,0.006500499999999999,1000.0,61.0,62.0
19,0.00775,1000.0,56.0,61.0
20,0.009000000000000001,1000.0,51.0,61.0
21,0.01025,1000.0,50.0,60.0
22,0.0115,1000.0,60.0,61.0
23,0.012750200000000001,1000.0,67.0,62.0
24,0.014000299999999999,1000.0,52.0,60.0
25,0.015250299999999996,1000.0,53.0,61.0
26,0.0165,1000.0,57.0,62.0
27,0.0177502,1000.0,59.0,61.0
28,0.019,1000.0,58.0,61.0
29,0.02025,1000.0,54.0,61.0
30,0.0215002,1000.0,57.0,61.0
31,0.02275,1000.0,62.0,61.0
32,0.024,1000.0,51.0,60.0
33,0.02525,,,
34,0.00525,1000.0,58.0,60.0
35,0.006500499999999999,1000.0,61.0,62.0
36,0.00775,1000.0,56.0,61.0
37,0.009000000000000001,1000.0,51.0,61.0
38,0.01025,1000.0,50.0,60.0
39,0.0115,1000.0,60.0,61.0
40,0.0127502,1000.0,67.0,62.0
41,0.0140003,1000.0,52.0,60.0
42,0.00025,1000.0,61.0,61.0
43,0.0015,1000.0,53.0,60.0
44,0.00275,1000.0,59.0,61.0
45,0.004,1000.0,52.0,60.0
46,0.00525,1000.0,58.0,60.0
47,0.006500499999999999,1000.0,61.0,62.0
48,0.00775,1000.0,56.0,61.0
49,0.009,1000.0,51.0,61.0
50,0.01025,1000.0,50.0,60.0
51,0.0115,1000.0,60.0,61.0
52,0.012750200000000001,1000.0,67.0,62.0
53,0.014000299999999999,1000.0,52.0,60.0
54,0.015250299999999998,1000.0,53.0,61.0
55,0.0165,1000.0,57.0,62.0
56,0.0177502,1000.0,59.0,61.0
57,0.019,1000.0,58.0,61.0
58,0.02025,1000.0,54.0,61.0
16,0.0202500,1000.0,54.0,61.0
17,0.0215002,1000.0,57.0,61.0
18,0.0227500,1000.0,62.0,61.0
19,0.0240000,1000.0,51.0,60.0
20,0.0052500,1000.0,58.0,60.0
21,0.0065005,1000.0,61.0,62.0
22,0.0077500,1000.0,56.0,61.0
23,0.0090000,1000.0,51.0,61.0
24,0.0102500,1000.0,50.0,60.0
25,0.0115000,1000.0,60.0,61.0
26,0.0127502,1000.0,67.0,62.0
27,0.0140003,1000.0,52.0,60.0
