,SSSSSSSS.mmmuuun,DURATION,ENER,AMP,A-FRQ,RMS,ASL,PCNTS,THR,R-FRQ,I-FRQ,SIG STRNGTH,ABS-ENERGY,FREQPP1,FREQPP2,FREQPP3,FREQPP4
0,0.00025,1000,61,61,822,0.029,52,342,33,814,834,270785.0,11024.0,5,2,57,37
1,0.0015,1000,53,60,751,0.029,52,236,33,761,730,238525.0,9016.0,5,2,58,36
2,0.00275,1000,59,61,820,0.029,52,417,33,852,792,264392.0,10907.0,5,2,59,34
3,0.004,1000,52,60,737,0.029,52,240,33,716,786,233453.0,8788.0,4,2,60,34
4,0.00525,1000,58,60,790,0.029,52,240,33,785,802,257322.0,10262.0,4,1,57,37
5,0.006500499999999999,1000,61,62,806,0.029,52,486,33,824,795,274119.0,11750.0,5,2,56,38
6,0.00775,1000,56,61,783,0.029,52,630,33,822,774,247867.0,9794.0,5,2,56,38
7,0.009,1000,51,61,730,0.0296,52,246,33,714,763,229561.0,8384.0,4,2,58,36
8,0.004,1000,52,60,737,0.029,52,240,33,716,786,233453.0,8788.0,4,2,60,34
9,0.00525,1000,58,60,790,0.029,52,240,33,785,802,257322.0,10262.0,4,1,57,37
10,0.006500499999999999,1000,61,62,806,0.029,52,486,33,824,795,274119.0,11750.0,5,2,56,38
11,0.00775,1000,56,61,783,0.029,52,630,33,822,774,247867.0,9794.0,5,2,56,38
12,0.009,1000,51,61,730,0.0296,52,246,33,714,763,229561.0,8384.0,4,2,58,36
